40, Adm-clerical, State-gov, <=50K
13, Exec-managerial, Self-emp-not-inc, <=50K
40, Handlers-cleaners, Private, <=50K
40, Handlers-cleaners, Private, <=50K
40, Prof-specialty, Private, <=50K
40, Exec-managerial, Private, <=50K
16, Other-service, Private, <=50K
45, Exec-managerial, Self-emp-not-inc, >50K
50, Prof-specialty, Private, >50K
40, Exec-managerial, Private, >50K
80, Exec-managerial, Private, >50K
40, Prof-specialty, State-gov, >50K
30, Adm-clerical, Private, <=50K
50, Sales, Private, <=50K
40, Craft-repair, Private, >50K
45, Transport-moving, Private, <=50K
35, Farming-fishing, Self-emp-not-inc, <=50K
40, Machine-op-inspct, Private, <=50K
50, Sales, Private, <=50K
45, Exec-managerial, Self-emp-not-inc, >50K
60, Prof-specialty, Private, >50K
20, Other-service, Private, <=50K
40, Farming-fishing, Federal-gov, <=50K
40, Transport-moving, Private, <=50K
40, Tech-support, Private, <=50K
40, Tech-support, Local-gov, >50K
40, Craft-repair, Private, <=50K
60,null,null, >50K
80, Exec-managerial, Private, <=50K
40, Craft-repair, Private, <=50K
52, Protective-serv, Local-gov, <=50K
44, Sales, Private, <=50K
40, Exec-managerial, Private, <=50K
40, Adm-clerical, Federal-gov, <=50K
15, Other-service, State-gov, <=50K
40, Machine-op-inspct, Private, <=50K
40, Machine-op-inspct, Private, <=50K
25, Adm-clerical, Private, <=50K
38, Sales, Private, >50K
40, Prof-specialty, Self-emp-not-inc, <=50K
43, Machine-op-inspct, Private, <=50K
40, Prof-specialty, Self-emp-not-inc, <=50K
50, Tech-support, Private, <=50K
40, Adm-clerical, Private, <=50K
35, Handlers-cleaners, Private, <=50K
40, Prof-specialty, Federal-gov, >50K
38, Machine-op-inspct, Private, <=50K
40, Exec-managerial, Private, <=50K
40, Craft-repair, State-gov, <=50K
43, Prof-specialty, Private, <=50K
40, Exec-managerial, Private, <=50K
30, Other-service, Private, <=50K
60, Prof-specialty, Private, >50K
55, Exec-managerial, Federal-gov, >50K
60, Exec-managerial, Self-emp-inc, <=50K
40, Tech-support, Private, >50K
40, Machine-op-inspct, Private, <=50K
40, Other-service, Private, <=50K
48, Adm-clerical, Private, <=50K
40, Machine-op-inspct, Private, <=50K
40, Sales, Private, <=50K
40,null,null, <=50K
40, Transport-moving, Private, <=50K
45, Prof-specialty, Private, >50K
58, Tech-support, Private, <=50K
40, Craft-repair, Private, <=50K
40, Adm-clerical, Private, <=50K
40, Adm-clerical, Private, >50K
50, Exec-managerial, Self-emp-inc, >50K
40,null,null, <=50K
32, Prof-specialty, Private, <=50K
40, Sales, Private, <=50K
70, Sales, Self-emp-not-inc, >50K
40, Machine-op-inspct, Private, <=50K
20, Prof-specialty, Private, <=50K
40, Other-service, Private, <=50K
40, Adm-clerical, Private, <=50K
2,null,null, <=50K
22, Other-service, Private, <=50K
40, Farming-fishing, Local-gov, <=50K
30, Sales, Private, <=50K
40, Other-service, Private, <=50K
40, Other-service, Private, <=50K
48, Sales, Private, <=50K
40, Craft-repair, Private, >50K
35, Sales, Private, <=50K
40, Protective-serv, Local-gov, >50K
50, Prof-specialty, Private, <=50K
40, Sales, Private, <=50K
50, Prof-specialty, Federal-gov, >50K
40, Prof-specialty, Private, <=50K
40, Craft-repair, Private, <=50K
25, Machine-op-inspct, Private, <=50K
35, Sales, Private, <=50K
40, Protective-serv, Local-gov, >50K
50, Handlers-cleaners, Local-gov, <=50K
60, Prof-specialty, Self-emp-not-inc, >50K
48, Sales, Private, >50K
40, Exec-managerial, Private, <=50K
40, Other-service, Federal-gov, <=50K
40, Exec-managerial, Private, >50K
60, Exec-managerial, Private, >50K
50, Prof-specialty, Self-emp-not-inc, <=50K
40, Tech-support, Private, <=50K
40, Craft-repair, Private, <=50K
40, Craft-repair, Self-emp-inc, >50K
32,null,null, <=50K
40, Handlers-cleaners, Private, <=50K
40, Adm-clerical, Local-gov, <=50K
40, Handlers-cleaners, Private, <=50K
40, Sales, Private, <=50K
40, Prof-specialty, Private, >50K
50, Other-service, Self-emp-not-inc, >50K
25, Sales, Private, <=50K
40, Machine-op-inspct, Private, <=50K
50, Handlers-cleaners, Private, <=50K
50, Sales, Self-emp-inc, <=50K
40, Craft-repair, Local-gov, >50K
56, Sales, Private, <=50K
41, Craft-repair, Private, <=50K
40, Other-service, Private, <=50K
60, Exec-managerial, Private, <=50K
40, Exec-managerial, Private, <=50K
50, Prof-specialty, State-gov, >50K
35, Other-service, Private, <=50K
40, Exec-managerial, Private, >50K
28, Adm-clerical, Private, <=50K
40, Adm-clerical, Private, >50K
40,null,null, <=50K
40, Craft-repair, Private, <=50K
60, Sales, Private, <=50K
40, Other-service, Private, <=50K
35, Craft-repair, Self-emp-not-inc, <=50K
50, Sales, Private, <=50K
36, Tech-support, Private, <=50K
40, Prof-specialty, Federal-gov, >50K
60, Craft-repair, Self-emp-not-inc, <=50K
35, Adm-clerical, Private, <=50K
20, Sales, Private, <=50K
40, Craft-repair, Private, >50K
40, Craft-repair, Self-emp-inc, <=50K
40, Sales, Private, <=50K
30, Other-service, Private, <=50K
40, Prof-specialty, Private, >50K
40, Tech-support, Private, <=50K
30, Transport-moving, Private, <=50K
24, Other-service, Private, <=50K
24, Other-service, Private, <=50K
40, Craft-repair, Private, <=50K
40,null,null, <=50K
38, Adm-clerical, Local-gov, <=50K
40, Adm-clerical, Private, <=50K
40, Exec-managerial, Private, <=50K
35, Craft-repair, Private, <=50K
45,null,null, >50K
46, Craft-repair, Private, <=50K
40, Handlers-cleaners, Private, <=50K
2, Sales, Self-emp-not-inc, <=50K
60, Craft-repair, Private, <=50K
50, Other-service, Private, <=50K
20,null,null, <=50K
40, Other-service, Private, <=50K
40, Exec-managerial, Self-emp-inc, <=50K
40, Exec-managerial, Private, <=50K
40, Sales, Self-emp-not-inc, >50K
40, Other-service, Private, <=50K
42, Exec-managerial, Federal-gov, <=50K
40, Protective-serv, State-gov, <=50K
16, Handlers-cleaners, Private, <=50K
20, Prof-specialty, Local-gov, <=50K
40, Other-service, Private, <=50K
40, Protective-serv, State-gov, <=50K
40, Sales, Private, >50K
50, Craft-repair, Private, <=50K
40, Prof-specialty, State-gov, >50K
25, Sales, Private, <=50K
40, Craft-repair, Private, <=50K
40, Handlers-cleaners, Private, <=50K
12, Other-service, Private, <=50K
65, Prof-specialty, Private, <=50K
38, Exec-managerial, Local-gov, >50K
40, Adm-clerical, Private, <=50K
45, Craft-repair, Private, <=50K
40, Machine-op-inspct, Private, >50K
42, Adm-clerical, Federal-gov, >50K
40, Adm-clerical, Private, <=50K
40, Exec-managerial, Self-emp-not-inc, <=50K
50,null,null, <=50K
50, Prof-specialty, Private, <=50K
1, Prof-specialty, State-gov, >50K
28, Machine-op-inspct, Private, <=50K
40, Machine-op-inspct, Private, <=50K
40, Craft-repair, Local-gov, <=50K
45, Tech-support, Private, <=50K
24, Tech-support, Federal-gov, <=50K
40, Transport-moving, Private, <=50K
40, Craft-repair, Private, <=50K
55, Exec-managerial, Federal-gov, >50K
40, Prof-specialty, Private, >50K
40, Sales, Self-emp-not-inc, <=50K
40, Prof-specialty, Private, <=50K
40,null,null, <=50K
50, Exec-managerial, Private, >50K
40, Prof-specialty, Local-gov, <=50K
35, Adm-clerical, State-gov, <=50K
40, Sales, Private, <=50K
36, Other-service, Private, >50K
60, Craft-repair, Private, <=50K
35, Sales, Self-emp-inc, >50K
12, Sales, Private, <=50K
40, Transport-moving, Local-gov, <=50K
40, Craft-repair, Private, >50K
40, Sales, Private, <=50K
40, Craft-repair, Private, <=50K
40, Machine-op-inspct, Self-emp-inc, >50K
60, Exec-managerial, Private, >50K
40, Sales, Private, <=50K
50, Sales, Private, <=50K
55, Prof-specialty, Private, <=50K
40, Craft-repair, Private, <=50K
40, Handlers-cleaners, Private, <=50K
40,null,null, <=50K
40, Other-service, Private, <=50K
20, Adm-clerical, Private, <=50K
35, Machine-op-inspct, Local-gov, <=50K
40, Sales, Private, <=50K
10,null,null, <=50K
50, Farming-fishing, Self-emp-not-inc, <=50K
20, Adm-clerical, Private, <=50K
40, Adm-clerical, Private, <=50K
40, Transport-moving, Private, <=50K
38, Sales, Private, <=50K
42, Adm-clerical, Private, <=50K
40, Craft-repair, Private, <=50K
