39, United-States, White, Male
50, United-States, White, Male
38, United-States, White, Male
53, United-States, Black, Male
28, Cuba, Black, Female
37, United-States, White, Female
49, Jamaica, Black, Female
52, United-States, White, Male
31, United-States, White, Female
42, United-States, White, Male
37, United-States, Black, Male
30, India, Asian-Pac-Islander, Male
23, United-States, White, Female
32, United-States, Black, Male
40,null, Asian-Pac-Islander, Male
34, Mexico, Amer-Indian-Eskimo, Male
25, United-States, White, Male
32, United-States, White, Male
38, United-States, White, Male
43, United-States, White, Female
40, United-States, White, Male
54, United-States, Black, Female
35, United-States, Black, Male
43, United-States, White, Male
59, United-States, White, Female
56, United-States, White, Male
19, United-States, White, Male
54, South, Asian-Pac-Islander, Male
39, United-States, White, Male
49, United-States, White, Male
23, United-States, White, Male
20, United-States, Black, Male
45, United-States, White, Male
30, United-States, White, Male
22, United-States, Black, Male
48, Puerto-Rico, White, Male
21, United-States, White, Male
19, United-States, White, Female
31,null, White, Male
48, United-States, White, Male
31, United-States, White, Male
53, United-States, White, Male
24, United-States, White, Male
49, United-States, White, Female
25, United-States, White, Male
57, United-States, Black, Male
53, United-States, White, Male
44, United-States, White, Female
41, United-States, White, Male
29, United-States, White, Male
25, United-States, Other, Female
18,null, White, Female
47, Honduras, White, Female
50, United-States, White, Male
47, United-States, White, Male
43, United-States, White, Male
46, Mexico, White, Male
35, Puerto-Rico, White, Male
41, United-States, White, Male
30, United-States, White, Male
30, United-States, White, Male
32,null, White, Male
48, United-States, White, Male
42, United-States, White, Male
29, United-States, White, Male
36, United-States, White, Male
28, United-States, White, Female
53, United-States, White, Female
49, United-States, White, Male
25, United-States, White, Male
19, United-States, White, Male
31, United-States, Black, Female
29, United-States, White, Male
23, United-States, White, Male
79, United-States, White, Male
27, Mexico, White, Male
40, United-States, White, Male
67, United-States, White, Male
18, United-States, White, Female
31, United-States, White, Male
18, United-States, White, Male
52, Cuba, White, Male
46, United-States, White, Female
59, United-States, White, Male
44, United-States, White, Female
53, United-States, White, Female
49, United-States, White, Male
33, United-States, White, Male
30, United-States, White, Male
43, United-States, White, Female
57, United-States, White, Male
37, United-States, White, Female
28, United-States, Black, Female
30,null, Asian-Pac-Islander, Female
34, United-States, White, Male
29, United-States, White, Male
48, United-States, White, Male
37, United-States, White, Male
48, England, White, Female
32, United-States, Black, Male
76, United-States, White, Male
44, United-States, White, Male
47, United-States, White, Female
20, United-States, White, Female
29, United-States, White, Male
32, United-States, White, Male
17, United-States, White, Female
30, United-States, White, Male
31, United-States, White, Female
42, United-States, White, Male
24, United-States, White, Male
38, United-States, White, Male
56, Canada, White, Male
28, United-States, White, Female
36, United-States, White, Female
53, United-States, White, Male
56, United-States, White, Male
49, United-States, Black, Male
55, United-States, White, Male
22, United-States, White, Male
21, United-States, White, Female
40, United-States, White, Male
30, Germany, Black, Male
29, United-States, White, Male
19, United-States, Black, Male
47, United-States, White, Female
20, United-States, White, Female
31, United-States, White, Male
35, United-States, White, Male
39, United-States, White, Male
28, United-States, White, Female
24, United-States, White, Female
38, United-States, White, Male
37, United-States, White, Male
46, United-States, Black, Female
38, Iran, White, Male
43, United-States, White, Male
27, United-States, White, Female
20, United-States, White, Male
49, United-States, Asian-Pac-Islander, Male
61, United-States, White, Male
27, United-States, White, Female
19, Mexico, White, Male
45, United-States, White, Female
70, United-States, White, Male
31, United-States, Black, Female
22, United-States, White, Male
36, United-States, White, Female
64, United-States, White, Male
43, United-States, White, Female
47, Mexico, White, Female
34, United-States, White, Female
33, Philippines, Asian-Pac-Islander, Female
21, United-States, White, Male
52, United-States, White, Male
48, United-States, White, Male
23, United-States, White, Male
71, United-States, Black, Male
29, United-States, White, Male
42, United-States, Black, Male
68, United-States, White, Female
25, United-States, White, Female
44, United-States, Asian-Pac-Islander, Female
28, England, Asian-Pac-Islander, Female
45, United-States, White, Male
36, Mexico, White, Female
39, United-States, White, Male
46, United-States, White, Male
18, United-States, White, Male
66, United-States, White, Female
27, United-States, White, Male
28, United-States, White, Male
51, United-States, White, Male
27, United-States, White, Male
28, United-States, White, Male
27, United-States, White, Female
21, United-States, Black, Male
34, United-States, Black, Male
18, United-States, White, Male
33, United-States, White, Male
44, United-States, Black, Male
43, United-States, White, Female
30, United-States, Black, Male
40, Mexico, White, Male
37, United-States, White, Male
34, United-States, Black, Male
41, United-States, White, Female
53, United-States, White, Female
31, United-States, White, Female
58, United-States, White, Male
38, United-States, Black, Female
24, United-States, White, Male
41, United-States, Black, Male
47, United-States, White, Male
41, United-States, White, Male
23, Mexico, White, Male
36, United-States, White, Male
40, United-States, White, Female
35, United-States, White, Male
24, United-States, White, Male
26, United-States, White, Female
19, Italy, White, Male
51, United-States, White, Male
42, United-States, White, Female
37, United-States, White, Female
18, United-States, White, Female
36, United-States, Black, Male
35, United-States, White, Male
58, United-States, White, Female
17, United-States, White, Female
44, United-States, Black, Male
37, United-States, White, Male
35, United-States, Amer-Indian-Eskimo, Female
60, United-States, Asian-Pac-Islander, Male
54, United-States, White, Male
37, United-States, Black, Male
50, United-States, White, Female
38, Poland, White, Male
45, United-States, White, Male
25, United-States, White, Male
31, United-States, White, Male
64, United-States, White, Male
90, United-States, Black, Male
54, United-States, Black, Male
53, United-States, White, Female
18, United-States, White, Female
60, United-States, Amer-Indian-Eskimo, Female
66, United-States, White, Male
75, Columbia, White, Female
65, United-States, White, Female
35, United-States, Black, Male
41, United-States, Black, Female
25, United-States, White, Male
33, United-States, Other, Female
28, United-States, White, Male
59, United-States, White, Male
40, United-States, White, Female
41, Iran, White, Male
38, United-States, White, Male
23, United-States, White, Male
40, United-States, White, Male
41, United-States, White, Female
24, United-States, White, Male
20, United-States, White, Male
38, United-States, White, Male
56,null, White, Male
58, United-States, White, Male
32, United-States, White, Female
40, United-States, White, Male
45,null, White, Male
41, United-States, White, Female
42, United-States, Black, Female
59, United-States, Black, Female
19, United-States, White, Male
58, United-States, White, Male
42, Cambodia, Asian-Pac-Islander, Male
20, United-States, White, Female
32, United-States, White, Female
45, United-States, White, Female
50, United-States, White, Male
36, United-States, White, Female
45, United-States, White, Male
17, United-States, White, Male
59, United-States, White, Male
26, United-States, White, Male
37, Thailand, Asian-Pac-Islander, Male
19, Canada, White, Male
64, United-States, White, Male
33, United-States, White, Female
33, United-States, White, Female
61, United-States, White, Male
