1, Bachelors, Never-married, Not-in-family
2, Bachelors, Married-civ-spouse, Husband
3, HS-grad, Divorced, Not-in-family
4, 11th, Married-civ-spouse, Husband
5, Bachelors, Married-civ-spouse, Wife
6, Masters, Married-civ-spouse, Wife
7, 9th, Married-spouse-absent, Not-in-family
8, HS-grad, Married-civ-spouse, Husband
9, Masters, Never-married, Not-in-family
10, Bachelors, Married-civ-spouse, Husband
11, Some-college, Married-civ-spouse, Husband
12, Bachelors, Married-civ-spouse, Husband
13, Bachelors, Never-married, Own-child
14, Assoc-acdm, Never-married, Not-in-family
15, Assoc-voc, Married-civ-spouse, Husband
16, 7th-8th, Married-civ-spouse, Husband
17, HS-grad, Never-married, Own-child
18, HS-grad, Never-married, Unmarried
19, 11th, Married-civ-spouse, Husband
20, Masters, Divorced, Unmarried
21, Doctorate, Married-civ-spouse, Husband
22, HS-grad, Separated, Unmarried
23, 9th, Married-civ-spouse, Husband
24, 11th, Married-civ-spouse, Husband
25, HS-grad, Divorced, Unmarried
26, Bachelors, Married-civ-spouse, Husband
27, HS-grad, Never-married, Own-child
28, Some-college, Married-civ-spouse, Husband
29, HS-grad, Divorced, Not-in-family
30, HS-grad, Married-civ-spouse, Husband
31, Assoc-acdm, Never-married, Not-in-family
32, Some-college, Never-married, Own-child
33, Bachelors, Divorced, Own-child
34, Some-college, Married-civ-spouse, Own-child
35, Some-college, Married-civ-spouse, Husband
36, 11th, Never-married, Unmarried
37, Some-college, Never-married, Own-child
38, HS-grad, Married-AF-spouse, Wife
39, Some-college, Married-civ-spouse, Husband
40, Assoc-acdm, Married-civ-spouse, Husband
41, 9th, Married-civ-spouse, Husband
42, Bachelors, Married-civ-spouse, Husband
43, Bachelors, Married-civ-spouse, Husband
44, HS-grad, Separated, Unmarried
45, HS-grad, Never-married, Not-in-family
46, Bachelors, Married-civ-spouse, Husband
47, HS-grad, Married-civ-spouse, Husband
48, Masters, Divorced, Unmarried
49, Assoc-voc, Married-civ-spouse, Husband
50, Assoc-voc, Never-married, Not-in-family
51, Some-college, Married-civ-spouse, Wife
52, HS-grad, Never-married, Own-child
53, Prof-school, Married-civ-spouse, Wife
54, Bachelors, Divorced, Not-in-family
55, HS-grad, Divorced, Not-in-family
56, Some-college, Married-civ-spouse, Husband
57, 5th-6th, Married-civ-spouse, Husband
58, Assoc-voc, Married-civ-spouse, Husband
59, HS-grad, Married-civ-spouse, Husband
60, HS-grad, Married-civ-spouse, Husband
61, Bachelors, Married-civ-spouse, Husband
62, 7th-8th, Married-spouse-absent, Not-in-family
63, HS-grad, Married-civ-spouse, Husband
64, Doctorate, Married-civ-spouse, Husband
65, Some-college, Divorced, Not-in-family
66, HS-grad, Married-civ-spouse, Husband
67, Some-college, Divorced, Not-in-family
68, HS-grad, Married-civ-spouse, Wife
69, Some-college, Married-civ-spouse, Husband
70, Some-college, Never-married, Own-child
71, Some-college, Never-married, Own-child
72, Bachelors, Separated, Own-child
73, Bachelors, Married-civ-spouse, Husband
74, Some-college, Never-married, Not-in-family
75, Some-college, Married-civ-spouse, Other-relative
76, HS-grad, Never-married, Own-child
77, Assoc-acdm, Married-civ-spouse, Husband
78, 10th, Married-civ-spouse, Husband
79, 11th, Never-married, Own-child
80, 7th-8th, Married-civ-spouse, Husband
81, HS-grad, Never-married, Not-in-family
82, Bachelors, Married-civ-spouse, Husband
83, HS-grad, Married-civ-spouse, Wife
84, HS-grad, Married-civ-spouse, Husband
85, HS-grad, Divorced, Not-in-family
86, HS-grad, Divorced, Own-child
87, HS-grad, Married-civ-spouse, Husband
88, Masters, Married-civ-spouse, Husband
89, 9th, Never-married, Not-in-family
90, Doctorate, Never-married, Not-in-family
91, Assoc-voc, Married-civ-spouse, Husband
92, Some-college, Divorced, Unmarried
93, Some-college, Divorced, Unmarried
94, HS-grad, Married-civ-spouse, Wife
95, Bachelors, Married-civ-spouse, Husband
96, Some-college, Never-married, Not-in-family
97, Doctorate, Married-civ-spouse, Husband
98, Some-college, Married-civ-spouse, Husband
99, Assoc-acdm, Divorced, Unmarried
100, HS-grad, Never-married, Own-child
101, Masters, Married-civ-spouse, Husband
102, Bachelors, Married-civ-spouse, Husband
103, Masters, Never-married, Not-in-family
104, Some-college, Never-married, Own-child
105, HS-grad, Never-married, Not-in-family
106, HS-grad, Married-civ-spouse, Husband
107, 10th, Never-married, Own-child
108, 11th, Never-married, Own-child
109, HS-grad, Never-married, Not-in-family
110, HS-grad, Married-civ-spouse, Husband
