@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6-weka.filters.unsupervised.attribute.Remove-R1,4,6-8,10'

@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Income-bracket {' <=50K',' >50K'}

@data
' State-gov',' Bachelors',' Adm-clerical',40_41,' <=50K'
' Self-emp-not-inc',' Bachelors',' Exec-managerial',1_40,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',40_41,' <=50K'
' Private',' 11th',' Handlers-cleaners',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' Masters',' Exec-managerial',40_41,' <=50K'
' Private',' 9th',' Other-service',1_40,' <=50K'
' Self-emp-not-inc',' HS-grad',' Exec-managerial',41_51,' >50K'
' Private',' Masters',' Prof-specialty',41_51,' >50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Private',' Some-college',' Exec-managerial',51_99,' >50K'
' State-gov',' Bachelors',' Prof-specialty',40_41,' >50K'
' Private',' Bachelors',' Adm-clerical',1_40,' <=50K'
' Private',' Assoc-acdm',' Sales',41_51,' <=50K'
' Private',' Assoc-voc',' Craft-repair',40_41,' >50K'
' Private',' 7th-8th',' Transport-moving',41_51,' <=50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',1_40,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' 11th',' Sales',41_51,' <=50K'
' Self-emp-not-inc',' Masters',' Exec-managerial',41_51,' >50K'
' Private',' Doctorate',' Prof-specialty',51_99,' >50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Federal-gov',' 9th',' Farming-fishing',40_41,' <=50K'
' Private',' 11th',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Tech-support',40_41,' <=50K'
' Local-gov',' Bachelors',' Tech-support',40_41,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' ?',' Some-college',' ?',51_99,' >50K'
' Private',' HS-grad',' Exec-managerial',51_99,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Local-gov',' Assoc-acdm',' Protective-serv',51_99,' <=50K'
' Private',' Some-college',' Sales',41_51,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Federal-gov',' Some-college',' Adm-clerical',40_41,' <=50K'
