@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6'

@attribute Age {17_28,28_37,37_48,48_90}
@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Maritial-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute Race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute Gender {' Male',' Female'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute Income-bracket {' <=50K',' >50K'}

@data
37_48,' State-gov',' Bachelors',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',1_40,' United-States',' <=50K'
37_48,' Private',' HS-grad',' Divorced',' Handlers-cleaners',' Not-in-family',' White',' Male',40_41,' United-States',' <=50K'
48_90,' Private',' 11th',' Married-civ-spouse',' Handlers-cleaners',' Husband',' Black',' Male',40_41,' United-States',' <=50K'
28_37,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',' Black',' Female',40_41,' Cuba',' <=50K'
37_48,' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',40_41,' United-States',' <=50K'
48_90,' Private',' 9th',' Married-spouse-absent',' Other-service',' Not-in-family',' Black',' Female',1_40,' Jamaica',' <=50K'
48_90,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',41_51,' United-States',' >50K'
28_37,' Private',' Masters',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',41_51,' United-States',' >50K'
37_48,' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40_41,' United-States',' >50K'
37_48,' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' Black',' Male',51_99,' United-States',' >50K'
28_37,' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',40_41,' India',' >50K'
17_28,' Private',' Bachelors',' Never-married',' Adm-clerical',' Own-child',' White',' Female',1_40,' United-States',' <=50K'
28_37,' Private',' Assoc-acdm',' Never-married',' Sales',' Not-in-family',' Black',' Male',41_51,' United-States',' <=50K'
