@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6-weka.filters.unsupervised.attribute.Remove-R1,7-8,10-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Income-bracket {' <=50K',' >50K'}

@data
' Self-emp-not-inc',' HS-grad',' Exec-managerial',41_51,' >50K'
' Private',' Masters',' Prof-specialty',41_51,' >50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Private',' Some-college',' Exec-managerial',51_99,' >50K'
' State-gov',' Bachelors',' Prof-specialty',40_41,' >50K'
' Private',' Assoc-voc',' Craft-repair',40_41,' >50K'
' Self-emp-not-inc',' Masters',' Exec-managerial',41_51,' >50K'
' Private',' Doctorate',' Prof-specialty',51_99,' >50K'
' Local-gov',' Bachelors',' Tech-support',40_41,' >50K'
' ?',' Some-college',' ?',51_99,' >50K'
' Private',' Some-college',' Sales',1_40,' >50K'
' Federal-gov',' Bachelors',' Prof-specialty',40_41,' >50K'
' Private',' Prof-school',' Prof-specialty',51_99,' >50K'
' Federal-gov',' Bachelors',' Exec-managerial',51_99,' >50K'
' Private',' Some-college',' Tech-support',40_41,' >50K'
' Private',' Doctorate',' Prof-specialty',41_51,' >50K'
' Private',' HS-grad',' Adm-clerical',40_41,' >50K'
' Self-emp-inc',' Some-college',' Exec-managerial',41_51,' >50K'
' Self-emp-not-inc',' Bachelors',' Sales',51_99,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' >50K'
' Local-gov',' HS-grad',' Protective-serv',40_41,' >50K'
' Federal-gov',' Doctorate',' Prof-specialty',41_51,' >50K'
' Local-gov',' Bachelors',' Protective-serv',40_41,' >50K'
' Self-emp-not-inc',' Doctorate',' Prof-specialty',51_99,' >50K'
' Private',' Some-college',' Sales',41_51,' >50K'
' Private',' Masters',' Exec-managerial',40_41,' >50K'
' Private',' Bachelors',' Exec-managerial',51_99,' >50K'
' Self-emp-inc',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' Prof-school',' Prof-specialty',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Other-service',41_51,' >50K'
' Local-gov',' Assoc-voc',' Craft-repair',40_41,' >50K'
' State-gov',' Bachelors',' Prof-specialty',41_51,' >50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Private',' Assoc-acdm',' Adm-clerical',40_41,' >50K'
' Federal-gov',' Masters',' Prof-specialty',40_41,' >50K'
' Private',' Some-college',' Craft-repair',40_41,' >50K'
' Private',' Assoc-voc',' Prof-specialty',40_41,' >50K'
' ?',' HS-grad',' ?',41_51,' >50K'
' Self-emp-not-inc',' Masters',' Sales',40_41,' >50K'
' Private',' Some-college',' Sales',40_41,' >50K'
' State-gov',' Bachelors',' Prof-specialty',40_41,' >50K'
